Time_CST,Matchup,Period,Market,Pick,Actual_Odds,Model_Prediction,Market_Line,Edge_Pts,Model_Prob,Fair_Prob,Confidence,EV_Pct,Kelly_Fraction,Fire_Rating
01/09 09:10 PM,Houston Rockets (22-12) @ Portland Trail Blazers (18-20),1H,SPREAD,Portland Trail Blazers +3.5,-106,Portland Trail Blazers -3.4,+3.5,6.9,0.7714,0.4924,77%,49.91,0.2645,4
01/09 06:10 PM,New Orleans Pelicans (8-31) @ Washington Wizards (10-26),1H,SPREAD,Washington Wizards +1.5,-110,Washington Wizards -5.3,+1.5,6.8,0.7849,0.5,78%,49.84,0.2741,4
01/09 06:10 PM,Philadelphia 76ers (20-15) @ Orlando Magic (21-17),1H,SPREAD,Orlando Magic +1.5,-110,Orlando Magic -0.1,+1.5,1.6,0.7691,0.5,77%,46.82,0.2575,2
01/09 08:10 PM,New York Knicks (24-13) @ Phoenix Suns (22-15),1H,SPREAD,Phoenix Suns +0.5,-115,Phoenix Suns -5.1,+0.5,5.6,0.7738,0.5108,77%,44.66,0.2568,3
01/09 09:10 PM,Sacramento Kings (8-29) @ Golden State Warriors (20-18),1H,TOTAL,UNDER 120.0,-110,115.2,120.0,4.8,0.7158,0.5,72%,36.66,0.2016,3
01/09 09:10 PM,Houston Rockets (22-12) @ Portland Trail Blazers (18-20),FG,TOTAL,OVER 221.5,-110,229.3,221.5,7.8,0.6802,0.5,68%,29.86,0.1642,4
01/09 06:10 PM,New Orleans Pelicans (8-31) @ Washington Wizards (10-26),1H,TOTAL,UNDER 124.5,-111,120.4,124.5,4.1,0.6765,0.5022,68%,28.59,0.1587,2
01/09 08:10 PM,Atlanta Hawks (18-21) @ Denver Nuggets (25-12),FG,SPREAD,Denver Nuggets +2.0,-110,Denver Nuggets -4.0,+2.0,6.0,0.6702,0.5,67%,27.94,0.1537,3
01/09 08:10 PM,New York Knicks (24-13) @ Phoenix Suns (22-15),FG,SPREAD,Phoenix Suns +1.0,-110,Phoenix Suns -6.1,+1.0,7.1,0.6702,0.5,67%,27.94,0.1537,3
01/09 06:10 PM,New Orleans Pelicans (8-31) @ Washington Wizards (10-26),FG,SPREAD,Washington Wizards +3.0,-110,Washington Wizards -4.0,+3.0,7.0,0.644,0.5,64%,22.94,0.1262,3
